Tayal 2007			// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-11
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
i-k	0.2e4	0.4e4	0.6e4	0.8e4	1.0e4	1.5e4	2.0e4	3.0e4	4.0e4	5.0e4	10.0e4
1-2	0.792	0.796	0.799	0.801	0.803	0.808	0.813	0.823	0.834	0.844	0.874
1-3	0.542	0.548	0.549	0.550	0.550	0.551	0.553	0.557	0.563	0.568	0.585
1-4	0.137	0.138	0.138	0.139	0.140	0.141	0.142	0.145	0.148	0.150	0.157
1-5	0.277	0.279	0.280	0.282	0.283	0.285	0.288	0.293	0.299	0.303	0.315
1-6	1.170	1.189	1.217	1.248	1.279	1.358	1.435	1.579	1.711	1.832	2.322
1-7	0.760	0.780	0.801	0.823	0.844	0.898	0.949	1.046	1.135	1.217	1.548
1-8	0.378	0.389	0.400	0.411	0.422	0.449	0.475	0.523	0.568	0.609	0.775
1-9	0.008	0.011	0.012	0.012	0.012	0.012	0.012	0.011	0.011	0.011	0.010
1-10	0.006	0.008	0.009	0.009	0.009	0.009	0.008	0.008	0.008	0.007	0.007
1-11	0.162	0.132	0.121	0.116	0.114	0.110	0.107	0.100	0.095	0.092	0.087
1-12	0.283	0.238	0.224	0.219	0.216	0.212	0.207	0.196	0.187	0.181	0.173
1-13	0.376	0.332	0.320	0.318	0.318	0.316	0.309	0.291	0.274	0.261	0.228
1-14	0.083	0.093	0.097	0.098	0.098	0.096	0.091	0.083	0.077	0.071	0.057
1-15	0.166	0.187	0.193	0.196	0.196	0.191	0.183	0.167	0.153	0.143	0.113
1-16	0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000
1-17	0.170	0.166	0.158	0.150	0.142	0.126	0.114	0.099	0.089	0.082	0.065
1-18	0.041	0.040	0.038	0.037	0.036	0.034	0.033	0.031	0.030	0.029	0.027
1-19	0.083	0.079	0.077	0.074	0.072	0.068	0.065	0.062	0.059	0.058	0.055
1-20	0.122	0.118	0.115	0.112	0.109	0.103	0.099	0.093	0.090	0.087	0.083
1-21	0.167	0.163	0.159	0.154	0.150	0.142	0.136	0.128	0.123	0.120	0.114
1-22	0.019	0.017	0.015	0.014	0.013	0.011	0.010	0.008	0.007	0.007	0.005
1-23	0.010	0.010	0.009	0.008	0.008	0.007	0.006	0.005	0.005	0.004	0.003
1-24	0.035	0.033	0.031	0.029	0.028	0.026	0.025	0.023	0.022	0.021	0.018
1-25	0.076	0.070	0.065	0.062	0.060	0.057	0.054	0.050	0.047	0.044	0.038
1-26	0.116	0.104	0.097	0.092	0.088	0.082	0.077	0.071	0.066	0.063	0.055
1-27	0.064	0.055	0.050	0.048	0.046	0.043	0.041	0.038	0.037	0.036	0.033
1-28	0.096	0.082	0.075	0.070	0.067	0.063	0.060	0.057	0.055	0.053	0.049
1-29	0.657	0.617	0.594	0.583	0.578	0.579	0.585	0.599	0.611	0.620	0.651
1-30	0.230	0.230	0.231	0.232	0.232	0.233	0.233	0.232	0.231	0.230	0.226
1-31	0.114	0.114	0.114	0.115	0.115	0.115	0.115	0.115	0.115	0.114	0.112
1-32	0.022	0.020	0.018	0.017	0.017	0.016	0.015	0.014	0.013	0.012	0.011
1-33	0.045	0.039	0.036	0.035	0.034	0.032	0.030	0.028	0.026	0.025	0.022
1-34	0.003	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.000
1-35	0.005	0.003	0.003	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001
2-3	1.998	1.722	1.584	1.496	1.434	1.339	1.291	1.254	1.248	1.250	1.260
2-4	0.339	0.341	0.343	0.346	0.349	0.360	0.373	0.395	0.412	0.425	0.456
2-5	0.796	0.804	0.812	0.821	0.832	0.864	0.900	0.966	1.019	1.060	1.170
2-6	0.427	0.425	0.424	0.424	0.425	0.428	0.431	0.435	0.435	0.434	0.419
2-7	0.144	0.144	0.144	0.144	0.144	0.146	0.147	0.149	0.149	0.148	0.142
2-8	0.030	0.030	0.030	0.030	0.030	0.031	0.031	0.032	0.032	0.032	0.030
2-9	1.592	1.627	1.654	1.684	1.717	1.801	1.884	2.046	2.200	2.346	2.967
2-10	0.435	0.439	0.440	0.442	0.445	0.450	0.454	0.462	0.470	0.477	0.508
2-11	0.077	0.071	0.067	0.065	0.063	0.059	0.054	0.047	0.041	0.037	0.025
2-12	0.215	0.215	0.209	0.205	0.201	0.190	0.179	0.158	0.142	0.130	0.095
2-13	0.358	0.356	0.365	0.376	0.383	0.385	0.376	0.350	0.325	0.305	0.241
2-14	0.129	0.145	0.159	0.167	0.170	0.166	0.156	0.134	0.117	0.103	0.068
2-15	0.627	0.666	0.696	0.714	0.723	0.724	0.715	0.703	0.702	0.711	0.808
2-16	0.022	0.022	0.021	0.020	0.020	0.018	0.017	0.016	0.016	0.015	0.014
2-17	0.214	0.221	0.216	0.207	0.197	0.175	0.158	0.137	0.125	0.116	0.098
2-18	0.038	0.028	0.024	0.021	0.019	0.016	0.014	0.012	0.010	0.009	0.007
2-19	0.083	0.068	0.060	0.055	0.051	0.045	0.041	0.036	0.032	0.030	0.024
2-20	0.153	0.133	0.122	0.115	0.109	0.099	0.093	0.084	0.078	0.074	0.063
2-21	0.245	0.227	0.215	0.207	0.201	0.189	0.180	0.167	0.158	0.152	0.134
