Tayal 2007		// REFERENCE
Energy Levels		// Data Type
Level #			// Column 1
Configuration		// Column 2
LS			// Column 3
J			// Column 4
Theoretical energy (Ryd) // Column 5
Experiemental energy (Ryd)  // Column 6
Key Level	 	LS	J 	present Experiement // Column headers
\begindata
1 2s^{2}2p^{3}	 	^{4}S  	1.5	0.00000	 0.00000
2 2s^{2}2p^{3}	 	^{2}D  	2.5	0.25349	 0.24432
3 2s^{2}2p^{3}	 	^{2}D	1.5	0.25369	 0.24450
4 2s^{2}2p^{3}	 	^{2}P	1.5	0.38389	 0.36877
5 2s^{2}2p^{3}	 	^{2}P	0.5	0.38387	 0.36879
6 2s2p^{4}	 	^{4}P 	2.5	1.10092	 1.09204
7 2s2p^{4}	 	^{4}P 	1.5	1.10230	 1.09353
8 2s2p^{4}		^{4}P 	0.5	1.10313	 1.09428
9 2s2p^{4}		^{2}D 	2.5	1.54369	 1.51260
10 2s2p^{4}	 	^{2}D 	1.5	1.54375	 1.51267
11 2s^{2}2p^{2}3s	^{4}P 	0.5	1.69192	 1.68799
12 2s^{2}2p^{2}3s	^{4}P 	1.5	1.69277	 1.68895
13 2s^{2}2p^{2}3s	^{4}P 	2.5	1.69418	 1.69039
14 2s^{2}2p^{2}3s	^{2}P 	0.5	1.72653	 1.72128
15 2s^{2}2p^{2}3s	^{2}P 	1.5	1.72811	 1.72292
16 2s2p^{4}	 	^{2}S 	0.5	1.79711	 1.78344
17 2s^{2}2p^{2}3p	^{2}S	0.5	1.86552	 1.85846
18 2s^{2}2p^{2}3p	^{4}D	0.5	1.89782	 1.88387
19 2s^{2}2p^{2}3p	^{4}D	1.5	1.89827	 1.88437
20 2s^{2}2p^{2}3p	^{4}D	2.5	1.89902	 1.88521
21 2s^{2}2p^{2}3p	^{4}D	3.5	1.90011	 1.88634
22 2s^{2}2p^{2}(^{1}D)3s ^{2}D  2.5	1.90193	 1.88606
23 2s^{2}2p^{2}(^{1}D)3s ^{2}D  1.5 	1.90194	 1.88607
24 2s^{2}2p^{2}3p	^{4}P	0.5	1.91497	 1.89859
25 2s^{2}2p^{2}3p	^{4}P	1.5	1.91539	 1.89901
26 2s^{2}2p^{2}3p	^{4}P	2.5	1.91616	 1.89985
27 2s^{2}2p^{2}3p	^{2}D	1.5	1.94023	 1.92753
28 2s^{2}2p^{2}3p	^{2}D	2.5	1.94189	 1.92927
29 2s^{2}2p^{2}3p	^{4}S	1.5	1.94902	 1.93336
30 2s2p^{4}	 	^{2}P	1.5	1.96267	 1.93730
31 2s2p^{4}	 	^{2}P 	0.5	1.96424	 1.93883
32 2s^{2}2p^{2}(^{1}D)3p ^{2}P  0.5	1.96613	 1.95166
33 2s^{2}2p^{2}(^{1}D)3p ^{2}P  1.5	1.96655	 1.95220
34 2s^{2}2p^{2}(^{1}D)3p ^{2}F  2.5	2.11191	 2.08428
35 2s^{2}2p^{2}(^{1}D)3p ^{2}F	3.5	2.11207	 2.08450
36 2s^{2}2p^{2}(^{1}D)3p ^{2}D	2.5 	2.12059	 2.09543
37 2s^{2}2p^{2}(^{1}D)3p ^{2}D	1.5 	2.12082	 2.09563
38 2s^{2}2p^{2}(^{1}S)3s ^{2}S  0.5 	2.12495	 2.10147
39 2s^{2}2p^{2}3d	 ^{4}F  1.5	2.12528  2.10772
40 2s^{2}2p^{2}3d	 ^{4}F  2.5	2.12576	 2.10822
41 2s^{2}2p^{2}3d	 ^{4}F  3.5	2.12642	 2.10893
42 2s^{2}2p^{2}3d	 ^{4}F  4.5	2.12727	 2.10986
43 2s^{2}2p^{2}3d	 ^{4}P  2.5	2.12795	 2.11836
44 2s^{2}2p^{2}3d	 ^{4}P  1.5	2.12866	 2.11902
45 2s^{2}2p^{2}3d	 ^{4}P  0.5	2.12909	 2.11963
46 2s^{2}2p^{2}(^{1}D)3p ^{2}P  0.5	2.14052	 2.11852
47 2s^{2}2p^{2}(^{1}D)3p ^{2}P  1.5	2.14095	 2.11894
\enddata
