Species,Air Wavelength (A),Vacuum Wavelength (A),Einstein A Coefficient (per sec),Oscillator Strength (per sec),gl,gu,Solar Flux (ergs/cm2/s/A),G-Factor (photons/atom/s),NIST Relative Intensity,FUV Grating Position,FUV Sensitivity (C/sec/(Kray/nm)),MUV Grating Position,MUV Sensitivity (C/sec/(Kray/nm)),VIS Grating Position,VIS Sensitivity (C/sec/(Kray/nm))
Ag I,3280.68,3281.62535,1.40E+08,4.50E-01,2,4,6.15E+01,3.51E+00,****,0,0,0,0,935.66,610.01
Ag I,3382.89,3383.86139,1.30E+08,2.20E-01,2,2,8.80E+01,2.69E+00,****,0,0,0,0,982.54,606.86
Ag II,1106.9931,1106.9931,6.93E+08,1.00E+00,0,0,-6.63E-02,-3.23E-04,1000,0,0,0,0,0,0
Ag II,1112.4006,1112.4006,7.71E+08,1.00E+00,0,0,-6.03E-02,-2.98E-04,600,0,0,0,0,0,0
Ag II,1195.8092,1195.8092,5.70E+07,1.00E+00,0,0,4.09E-03,2.51E-05,700,276.36,34.29,0,0,0,0
Al I,2269.096,2269.79762,6.91E+07,8.01E-02,4,6,2.54E+00,8.52E-03,40,0,0,352.69,134.29,484.77,177.28
Al I,2367.052,2367.77523,6.28E+07,1.06E-01,2,4,3.48E+00,1.76E-02,50,0,0,395.86,149.29,527.56,177.84
Al I,2373.124,2373.84859,7.48E+07,9.48E-02,4,6,3.29E+00,1.50E-02,90,0,0,398.54,150.22,530.22,180.52
Al I,2575.094,2575.86523,2.26E+07,3.38E-02,4,6,7.33E+00,1.52E-02,50,0,0,488.1,167.95,618.99,264.94
Al I,3082.153,3083.04821,6.22E+07,1.77E-01,2,4,2.18E+00,4.05E-02,500,0,0,716.59,14.46,845.41,534.66
Al I,3092.71,3093.60786,7.38E+07,1.59E-01,4,6,2.23E+00,3.76E-02,800,0,0,721.41,13.25,850.18,542.29
Al I,3092.839,3093.73689,1.23E+07,1.77E-02,4,4,3.15E+00,5.93E-03,200,0,0,721.47,13.22,850.24,542.38
