Tayal & Gupta 1999		// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-9
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
i-k	0.5e4	0.8e4	1.0e4	2.0e4	3.0e4	4.0e4	6.0e4	10.0e4
1-2	4.44	4.17	3.98	3.24	2.85	2.61	2.29	1.90
1-3	1.41	1.35	1.31	1.28	1.31	1.33	1.33	1.24
1-4	8.02e-1	7.78e-1	7.73e-1	7.86e-1	7.92e-1	7.85e-1	7.50e-1	6.64e-1
1-5	1.29e-1	1.30e-1	1.31e-1	1.37e-1	1.44e-1	1.48e-1	1.49e-1	1.36e-1
1-6	2.71e-1	3.04e-1	3.16e-1	3.45e-1	3.57e-1	3.58e-1	3.45e-1	3.08e-1
1-7	3.42e-1	3.50e-1	3.54e-1	3.72e-1	3.84e-1	4.05e-1	4.34e-1	4.53e-1
1-8	2.38e-1	2.41e-1	2.44e-1	2.63e-1	2.75e-1	2.78e-1	2.73e-1	2.52e-1
1-9	2.27e-1	2.25e-1	2.24e-1	2.15e-1	2.07e-1	1.98e-1	1.80e-1	1.50e-1
1-10	4.37e-2	4.54e-2	4.66e-2	5.00e-2	5.05e-2	4.96e-2	4.68e-2	4.12e-2
1-11	3.04e-1	2.98e-1	2.98e-1	3.07e-1	3.12e-1	3.14e-1	3.18e-1	3.25e-1
1-12	1.64e-1	1.72e-1	1.77e-1	1.93e-1	1.95e-1	1.90e-1	1.77e-1	1.53e-1
1-13	2.99e-1	3.07e-1	3.10e-1	3.09e-1	2.98e-1	2.86e-1	2.69e-1	2.50e-1
1-14	3.57e-1	3.83e-1	3.94e-1	3.97e-1	3.74e-1	3.49e-1	3.09e-1	2.56e-1
1-15	3.31e-1	3.60e-1	3.69e-1	3.66e-1	3.42e-1	3.21e-1	2.88e-1	2.49e-1
1-16	3.06e-1	3.16e-1	3.16e-1	2.88e-1	2.58e-1	2.34e-1	2.00e-1	1.62e-1
1-17	1.24e-1	1.15e-1	1.10e-1	9.36e-2	8.54e-2	8.08e-2	7.61e-2	7.13e-2
1-18	7.19e-1	7.28e-1	7.34e-1	7.59e-1	7.80e-1	8.00e-1	8.37e-1	9.13e-1
1-19	7.23e-2	6.18e-2	5.72e-2	4.50e-2	3.91e-2	3.53e-2	3.02e-2	2.45e-2
1-20	6.86e-1	6.55e-1	6.45e-1	6.35e-1	6.43e-1	6.55e-1	6.89e-1	7.77e-1
1-21	3.15e-1	2.64e-1	2.42e-1	1.86e-1	1.60e-1	1.43e-1	1.21e-1	9.64e-2
1-22	1.93e-2	1.94e-2	1.92e-2	1.82e-2	1.76e-2	1.73e-2	1.71e-2	1.65e-2
1-23	3.23e-1	3.33e-1	3.38e-1	3.57e-1	3.74e-1	3.90e-1	4.21e-1	4.72e-1
1-24	9.21e-2	9.43e-2	9.59e-2	9.99e-2	9.97e-2	9.81e-2	9.37e-2	8.53e-2
1-25	1.46	1.48	1.49	1.60	1.72	1.84	2.06	2.44
1-26	2.73e-1	2.70e-1	2.68e-1	2.51e-1	2.34e-1	2.22e-1	2.05e-1	1.84e-1
1-27	1.52e-1	1.56e-1	1.59e-1	1.70e-1	1.79e-1	1.83e-1	1.88e-1	1.86e-1
1-28	9.11e-2	8.77e-2	8.67e-2	8.31e-2	7.85e-2	7.35e-2	6.47e-2	5.24e-2
1-29	9.65e-2	9.41e-2	9.23e-2	9.08e-2	9.76e-2	1.06e-1	1.12e-1	1.11e-1
1-30	1.95e-1	1.96e-1	1.94e-1	1.91e-1	1.90e-1	1.91e-1	1.90e-1	1.85e-1
1-31	4.56e-2	4.81e-2	4.94e-2	5.43e-2	5.49e-2	5.52e-2	5.37e-2	4.85e-2
1-32	5.01e-2	4.94e-2	4.89e-2	4.54e-2	4.10e-2	3.70e-2	3.07e-2	2.32e-2
1-33	5.58e-2	5.34e-2	5.22e-2	4.71e-2	4.22e-2	3.80e-2	3.15e-2	2.39e-2
1-34	8.77e-2	8.53e-2	8.37e-2	7.74e-2	7.19e-2	6.72e-2	6.06e-2	5.40e-2
1-35	4.73e-2	4.75e-2	4.75e-2	4.53e-2	4.12e-2	3.72e-2	3.08e-2	2.32e-2
1-36	1.25e-1	1.33e-1	1.37e-1	1.50e-1	1.51e-1	1.49e-1	1.44e-1	1.37e-1
1-37	1.09e-1	1.01e-1	9.93e-2	9.16e-2	8.28e-2	7.47e-2	6.23e-2	4.75e-2
1-38	6.09e-2	6.27e-2	6.38e-2	6.54e-2	6.31e-2	6.01e-2	5.51e-2	4.90e-2
1-39	2.99e-2	2.99e-2	2.99e-2	2.84e-2	2.56e-2	2.29e-2	1.88e-2	1.39e-2
1-40	6.40e-2	6.27e-2	6.15e-2	5.44e-2	4.78e-2	4.27e-2	3.56e-2	2.77e-2
1-41	1.34e-2	1.18e-2	1.10e-2	8.58e-3	7.14e-3	6.17e-3	4.95e-3	3.69e-3
1-42	9.88e-3	7.81e-3	6.83e-3	7.33e-3	6.76e-3	6.42e-3	5.99e-3	5.46e-3
1-43	3.59e-2	2.96e-2	2.62e-2	5.41e-2	6.12e-2	6.83e-2	8.24e-2	1.10e-1
1-44	4.64e-3	3.82e-3	3.38e-3	6.77e-3	6.91e-3	6.96e-3	6.96e-3	6.82e-3
1-45	6.78e-3	5.41e-3	4.73e-3	7.52e-3	7.46e-3	7.45e-3	7.44e-3	7.43e-3
1-46	6.70e-4	5.14e-4	4.42e-4	5.98e-4	5.62e-4	5.41e-4	5.17e-4	4.92e-4
1-47	1.29e-2	9.87e-3	8.49e-3	1.64e-2	1.79e-2	1.96e-2	2.31e-2	3.05e-2
