Tayal & Gupta 1999	// REFERENCE
Energy Levels		// Data Type
Level #			// Column 1
Configuration		// Column 2
LS			// Column 3
J			// Column 4
Theoretical energy (Ryd) // Column 5
Experiemental energy (Ryd)  // Column 6
Key Level	 	LS	J 	present Experiement // Column headers
\begindata 
1	3s^{2}3p^{2} ^{3}P	0	0.0000	0.0000
2	. . 			1	0.0023	0.0027
3	. . 			2	0.0066	0.0076
4	3s^{2}3p^{2} ^{1}D	2	0.1252	0.1032
5	3s^{2}3p^{2} ^{1}S	0	0.2669	0.2475
6	3s3p^{3} ^{5}S^{o}	2	0.5042	0.5347
7	3s3p^{3} ^{3}D^{o}	1	0.7564	0.7656
8	. .			2	0.7565	0.7659
9	. . 			3	0.7569	0.7664
10	3s3p^{3} ^{3}P^{o}	0	0.8822	0.9001
11	. . 			1	0.8822	0.9000
12	. . 			2	0.8821	0.8998
13	3s^{2}3p3d ^{1}D^{o}	2	0.9555	0.9492
14	3s^{2}3p3d ^{3}F^{o}	2	1.2281	1.1128
15	. . 			3	1.1252	1.1154
16	. . 			4	1.1284	1.1190
17	3s3p^{3} ^{1}P^{o}	1	1.2869	1.2470
18	3s3p^{3} ^{3}S^{o}	1	1.2937	1.2581
19	3s^{2}3p3d ^{3}P^{o}	0	1.3476	1.3040
20	. . 			1	1.3476	1.3042
21	. . 			2	1.3487	1.3043
22	3s^{2}3p4s ^{3}P^{o}	0	1.3091	1.3368
23	. . 			1	1.3101	1.3372
24	. . 			2	1.3117	1.3409
25	3s^{2}3p3d ^{3}D^{o}	1	1.3707	1.3446
26	. . 			2	1.3717	1.3459
27	. . 			3	1.3725	1.3464
28	3s^{2}3p4s ^{1}P^{o}	1	1.3740	1.3523
29	3s3p^{3} ^{1}D^{o}	2	1.4239	1.3849
30	3s^{2}3p3d ^{1}F^{o}	3	1.4896	1.4362
31	3s^{2}3p3d ^{1}P^{o}	1	1.5545	1.4958
32	3s^{2}3p4p ^{1}P	1	1.5389	1.5268
33	3s^{2}3p4p ^{3}D	1	1.5754	1.5471
34	. . 			2	1.5780	1.5498
35	. . 			3	1.5839	1.5551
36	3s^{2}3p4p ^{3}P	0	1.5768	1.5731
37	. . 			1	1.5787	1.5746
38	. . 			2	1.5824	1.5782
39	3s^{2}3p4p ^{3}S	1	1.5861	1.5860
40	3s^{2}3p4p ^{1}D	2	1.6532	1.6128
41	3s^{2}3p4p ^{1}S	0	1.6771	1.6654
42	3s^{2}3p4d ^{1}D^{o}	2	1.8875	1.8694
43	3s^{2}3p4d ^{3}D^{o}	1	1.8912	1.8821
44	. . 			2	1.8926	1.8833
45	. . 			3	1.8946	1.8855
46	3s^{2}3p4d ^{3}P^{o}	0	1.8974	1.8974
47	. . 			1	1.8971	1.8964
48	. . 			2	1.8966	1.8945
49	3s^{2}3p4d ^{1}P^{o}	1	1.9679	1.9459
\enddata
