Dressler et al. 1996		// REFERENCE
Cross Section			// DATATYPE
Ion-Neutral 			// REACTYPE
1				// NREAC
O+, H_2O -> O, H_2O+		// REACTION
eV				// ENERGY UNITS
com energy			// ETYPE
cm-2				// CROSS SECTION UNITS
\begindata
  9.00000e-02 :   1.20000e-14
  .110000 :   1.16000e-14
  .130000 :   1.13000e-14
  .150000 :   1.05000e-14
  .180000 :   1.00000e-14
  .215000 :   9.10000e-15
  .250000 :   8.50000e-15
  .300000 :   8.00000e-15
  .340000 :   7.70000e-15
  .400000 :   7.20000e-15
  .480000 :   7.00000e-15
  .550000 :   6.50000e-15
  .630000 :   6.20000e-15
  .750000 :   6.00000e-15
  .900000 :   5.30000e-15
   1.00000 :   5.20000e-15
   1.20000 :   5.00000e-15
   1.40000 :   4.60000e-15
   1.60000 :   4.50000e-15
   2.00000 :   4.40000e-15
   2.20000 :   4.30000e-15
   2.50000 :   4.20000e-15
   3.00000 :   4.20000e-15
   3.50000 :   4.25000e-15
   4.10000 :   4.25000e-15
   5.00000 :   4.25000e-15
   5.50000 :   4.50000e-15
   6.60000 :   4.45000e-15
   8.00000 :   4.30000e-15
   9.00000 :   4.11000e-15
    10.0500 :   4.05000e-15
    12.0000 :   4.10000e-15
    14.0000 :   3.80000e-15
    15.0000 :   3.40000e-15
    20.0000 :   3.20000e-15
\enddata
