Dressler et al. 1996		// REFERENCE
Cross Section			// DATATYPE
Ion-Neutral 			// REACTYPE
1				// NREAC
O+, H_2O -> O, H_2O+		// REACTION
eV				// ENERGY UNITS
com energy			// ETYPE
cm-2				// CROSS SECTION UNITS
This data is smoothed with some interpolation. // COMMENT
\begindata
0.044215129 :    1.7120524e-14
0.17686052 :    9.9441869e-15
0.39793616 :    7.2985110e-15
0.70744207 :    5.8315285e-15
1.1053782 :    5.0380311e-15
1.5917447 :    4.6058114e-15
2.1665413 :    4.3843430e-15
2.8297683 :    4.2841131e-15
3.5814255 :    4.2460396e-15
4.4215129 :    4.2450516e-15
5.3500306 :    4.2541437e-15
6.3669786 :    4.2588582e-15
7.4723568 :    4.2454108e-15
8.6661653 :    4.2127628e-15
9.9484041 :    4.1498172e-15
11.319073 :    4.0450725e-15
12.778172 :    3.9156244e-15
14.325702 :    3.7629053e-15
15.961662 :    3.5462243e-15
17.686052 :    3.3220466e-15
19.498872 :    3.1219737e-15
\enddata
