Lishawa et al. 1990		// REFERENCE
Cross Section			// DATATYPE
Ion-Neutral 			// REACTYPE
1				// NREAC
H_2O+, H_2O -> H_3O+, OH	// REACTION
eV				// ENERGY UNITS
incident energy			// ETYPE
cm-2				// CROSS SECTION UNITS
\begindata
     0.093957150 :    5.4562485e-16
      0.37582860 :    2.7281243e-16
      0.84561435 :    1.8187495e-16
       1.5033144 :    1.3640621e-16
       2.3489287 :    1.0912497e-16
       3.3824574 :    8.2927327e-17
       4.6039003 :    6.5429069e-17
       6.0132576 :    5.3285787e-17
       7.6105291 :    4.4459775e-17
       9.3957150 :    3.7810959e-17
       11.368815 :    3.2657187e-17
       13.529830 :    2.8568075e-17
       15.878758 :    2.5260166e-17
       18.415601 :    2.2540008e-17
       21.140359 :    2.0271565e-17
       24.053030 :    1.8356704e-17
       27.153616 :    1.6723048e-17
       30.442116 :    1.5316184e-17
       33.918531 :    1.4094501e-17
       37.582860 :    1.3025698e-17
       41.435103 :    1.2084360e-17
       45.475260 :    1.1250248e-17
       49.703332 :    1.0507067e-17
       54.119318 :    9.8415679e-18
       58.723218 :    9.2428799e-18
       63.515033 :    8.7020086e-18
       68.494762 :    8.2114559e-18
       73.662405 :    7.7649269e-18
       79.017963 :    7.3571020e-18
       84.561435 :    6.9834592e-18
       90.292821 :    6.6401322e-18
\enddata
