Straub et al 1998
Electron Impact
H_2O : cm^-2
Energy : H_2O + e -> H_2O+ + 2e, OH+ + H + 2e, O+ + H_2 + 2e : H_2O + e -> O++ + H_2 + 3e : H_2O + e -> H_2+ + 2e : H_2O + e -> H+ + OH + 2e 
13.5 : 0.034d-16 : 0d-19     : 0d-19    : 0d-17
15   : 0.133d-16 : 0d-19     : 0d-19    : 0d-17
17.5 : 0.292d-16 : 0d-19     : 0d-19    : 0d-17
20   : 0.457d-16 : 0d-19     : 0d-19    : 0.026d-17
22.5 : 0.628d-16 : 0d-19     : 0d-19    : 0.098d-17
25   : 0.779d-16 : 0d-19     : 0d-19    : 0.223d-17
30   : 1.04d-16  : 0d-19     : 0.30d-19 : 0.465d-17
35   : 1.24d-16  : 0d-19     : 0.78d-19 : 0.813d-17
40   : 1.41d-16  : 0d-19     : 1.31d-19 : 1.18d-17
45   : 1.52d-16  : 0d-19     : 1.53d-19 : 1.55d-17
50   : 1.61d-16  : 0d-19     : 1.55d-19 : 1.90d-17
60   : 1.74d-16  : 0d-19     : 1.66d-19 : 2.50d-17
70   : 1.80d-16  : 0d-19     : 1.70d-19 : 2.95d-17
80   : 1.85d-16  : 0d-19     : 1.75d-19 : 3.35d-17
90   : 1.86d-16  : 0.08d-19  : 1.75d-19 : 3.62d-17
100  : 1.87d-16  : 0.20d-19  : 1.75d-19 : 3.80d-17
110  : 1.86d-16  : 0.48d-19  : 1.73d-19 : 3.90d-17
125  : 1.82d-16  : 0.72d-19  : 1.66d-19 : 3.94d-17
150  : 1.76d-16  : 1.22d-19  : 1.62d-19 : 3.89d-17
175  : 1.69d-16  : 1.85d-19  : 1.56d-19 : 3.83d-17
200  : 1.64d-16  : 1.87d-19  : 1.56d-19 : 3.65d-17
250  : 1.49d-16  : 2.03d-19  : 1.38d-19 : 3.28d-17
300  : 1.35d-16  : 1.85d-19  : 1.35d-19 : 2.94d-17
400  : 1.17d-16  : 1.38d-19  : 1.27d-19 : 2.44d-17
500  : 0.999d-16 : 1.08d-19  : 0.91d-19 : 2.04d-17
600  : 0.884d-16 : 0.99d-19  : 0.95d-19 : 1.76d-17
700  : 0.779d-16 : 0.82d-19  : 0.61d-19 : 1.52d-17
800  : 0.709d-16 : 0.81d-19  : 0.74d-19 : 1.37d-17
900  : 0.653d-16 : 0.61d-19  : 0.72d-19 : 1.22d-17
1000 : 0.595d-16 : 0.41d-19  : 0.57d-19 : 1.11d-17
