0          References for Cross Section of Nae       Na+     
Cross section: (Experimental)                                                   
Lambda = 0.58-333.7 A                                                           
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)                        
   J. Quant. Spectr. Rad. Trans. 12, 1409                                       
Lambda = 500.-575. A                                                            
   Hudson, R. D., Carter, V. L. (1986)                                          
   J. Opt. Soc. Am. 58, 430                                                     
Lambda = 600.-2412. A                                                           
   Hudson, R. D., Carter, V. L. (1967)                                          
   J. Opt. Soc. Am. 57, 651                                                     
                                                                                
0 Branching ratio for Nae      Na+          0 branches
  Lambda  Na+     
    0.58  5.40E-23
    1.10  3.87E-22
    2.06  2.60E-21
    3.41  1.13E-20
    5.20  3.66E-20
    7.91  1.13E-19
   11.08  2.67E-19
   11.56  1.95E-20
   13.11  2.74E-20
   18.35  6.75E-20
   24.62  1.46E-19
   31.69  2.78E-19
   40.77  5.19E-19
   50.32  8.59E-19
   62.09  1.40E-18
   76.63  2.22E-18
   94.50  3.41E-18
  111.80  4.70E-18
  132.30  6.17E-18
  156.50  7.30E-18
  170.30  7.68E-18
  177.60  7.59E-18
  185.20  7.74E-18
  210.10  7.87E-18
  238.30  7.36E-18
  270.40  6.11E-18
  306.70  4.31E-18
  319.30  3.67E-18
  333.70  5.00E-20
  500.00  1.90E-19
  525.00  2.20E-19
  550.00  2.30E-19
  575.00  2.40E-19
  600.00  2.30E-19
  650.00  2.34E-19
  700.00  2.30E-19
  750.00  2.19E-19
  800.00  2.07E-19
  850.00  1.95E-19
  900.00  1.93E-19
  950.00  1.92E-19
 1000.00  1.91E-19
 1050.00  1.89E-19
 1100.00  1.82E-19
 1150.00  1.75E-19
 1200.00  1.66E-19
 1250.00  1.55E-19
 1300.00  1.45E-19
 1350.00  1.34E-19
 1400.00  1.22E-19
 1450.00  1.10E-19
 1500.00  9.70E-20
 1550.00  8.50E-20
 1600.00  7.20E-20
 1650.00  5.70E-20
 1700.00  3.80E-20
 1750.00  1.90E-20
 1800.00  6.00E-21
 1850.00  1.00E-21
 1900.00  5.00E-22
 1950.00  1.00E-22
 2000.00  5.00E-22
 2050.00  1.00E-21
 2100.00  8.00E-21
 2150.00  2.20E-20
 2200.00  4.50E-20
 2250.00  7.00E-20
 2300.00  9.20E-20
 2350.00  1.10E-19
 2400.00  1.26E-19
 2412.00  1.30E-19
