0          References for Cross Section of Na        Na+     
Cross section: (Theoretical)                                                    
Lambda = 0.58-333.7 A                                                           
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)                        
   J. Quant. Spectr. Rad. Trans. 12, 1409                                       
Lambda = 573.-2410. A                                                           
   Chang, J., Kelly, H. P. (1974)                                               
   Phys. Rev. A 12, 92                                                          
                                                                                
0 Branching ratio for Na       Na+          0 branches
  Lambda  Na+     
    0.58  5.40E-23
    1.10  3.87E-22
    2.06  2.60E-21
    3.41  1.13E-20
    5.20  3.66E-20
    7.91  1.13E-19
   11.08  2.67E-19
   11.56  1.95E-20
   13.11  2.74E-20
   18.35  6.75E-20
   24.62  1.46E-19
   31.69  2.78E-19
   40.77  5.19E-19
   50.32  8.59E-19
   62.09  1.40E-18
   76.63  2.22E-18
   94.50  3.41E-18
  111.80  4.70E-18
  132.30  6.17E-18
  156.50  7.30E-18
  170.30  7.68E-18
  177.60  7.59E-18
  185.20  7.74E-18
  210.10  7.87E-18
  238.30  7.36E-18
  270.40  6.11E-18
  306.70  4.31E-18
  319.30  3.67E-18
  333.70  5.00E-20
  573.00  9.80E-20
  587.00  1.02E-19
  613.00  1.07E-19
  648.00  1.12E-19
  684.00  1.17E-19
  723.00  1.22E-19
  768.00  1.27E-19
  819.00  1.31E-19
  877.00  1.31E-19
  944.00  1.30E-19
  981.00  1.28E-19
 1000.00  1.24E-19
 1100.00  1.20E-19
 1200.00  1.16E-19
 1300.00  1.08E-19
 1400.00  9.10E-20
 1500.00  7.00E-20
 1600.00  5.00E-20
 1700.00  3.00E-20
 1800.00  1.00E-20
 1900.00  1.00E-21
 2000.00  1.00E-24
 2100.00  1.00E-24
 2200.00  1.00E-20
 2300.00  3.00E-20
 2400.00  5.70E-20
 2410.00  5.90E-20
