Johnston and Burrows 1995  // REFERENCE
Johnston, A.R. and Burrow, P.D. Electron-impact ionization of Na, Phys. Rev. A, 51, R1735-R1737, 1995 // CITATION
Cross Section		   // DATATYPE 
Electron Impact		   // REACTYPE
1		  	   // NREAC
Na, e -> Na+, 2e   	   // REACTION
eV			   // ENERGY UNITS
cm-2			   // CROSS SECTION UNITS
\begindata
5.14000 : 0.
6.00000 : 1.26000d-16
7.00000 : 2.47000d-16
8.00000 : 3.42000d-16
9.00000 : 4.04000d-16
10.0000 : 4.43000d-16
11.0000 : 4.62000d-16
12.0000 : 4.74000d-16
13.0000 : 4.82000d-16
14.0000 : 4.86000d-16
15.0000 : 4.88000d-16
16.0000 : 4.87000d-16
17.0000 : 4.84000d-16
18.0000 : 4.80000d-16
19.0000 : 4.76000d-16
20.0000 : 4.70000d-16
25.0000 : 4.44000d-16
30.0000 : 4.16000d-16
35.0000 : 3.87000d-16
40.0000 : 3.66000d-16
45.0000 : 3.49000d-16
50.0000 : 3.32000d-16
100.000 : 2.34829e-16
200.000 : 1.70049e-16
300.000 : 1.29561e-16
400.000 : 1.05268e-16
500.000 : 8.90732e-17
\enddata
