Zapesochnyi and Aleksakhin 1969 	// REFERENCE
Cross Section		   	// DATATYPE 
Electron Impact		   	// REACTYPE
1		  	   	// NREAC
Na, e -> Na+, 2e   	   	// REACTION
eV			   	// ENERGY UNITS
cm-2			   	// CROSS SECTION UNITS
\begindata
1.00000 :   0.00000
1.25893 :   0.00000
1.58489 :   0.00000
1.99526 :   0.00000
2.51189 :   0.00000
3.16228 :   0.00000
3.98107 :   0.00000
5.01187 :   0.00000
6.30957 : 2.33276e-16
7.94328 : 4.55915e-16
10.0000 : 6.07567e-16
12.5893 : 6.85820e-16
15.8489 : 7.04260e-16
19.9526 : 6.80226e-16
25.1189 : 6.29558e-16
31.6228 : 5.64771e-16
39.8107 : 5.18337e-16
50.1187 : 4.81543e-16
63.0957 : 4.42569e-16
79.4328 : 4.01509e-16
100.000 : 3.59415e-16
125.893 : 3.17652e-16
158.489 : 2.77497e-16
199.526 : 2.39930e-16
251.189 : 2.05590e-16
316.228 : 1.74800e-16
398.107 : 1.47632e-16
501.187 : 1.23975e-16
630.957 : 1.03601e-16
794.328 : 8.62135e-17
1000.00 : 7.14882e-17
\enddata
