Freund et al. 1990		// REFERENCE
Cross Section		   	// DATATYPE 
Electron Impact		   	// REACTYPE
2		  	   	// NREAC
S, e -> S+, 2e   	   	// REACTION
S, e -> S++, 3e   	   	// REACTION
eV			   	// ENERGY UNITS
cm-2			   	// CROSS SECTION UNITS
\begindata
8	: 0.e-16	: 0.
9	: 0.e-16	: 0.
10	: 0.21e-16	: 0.
11	: 0.47e-16	: 0. 
12	: 0.65e-16	: 0.
13	: 1.06e-16	: 0.
14	: 1.45e-16	: 0.
15	: 1.72e-16	: 0.
16	: 2.09e-16	: 0.
17	: 2.39e-16	: 0.
18	: 2.59e-16	: 0.
19	: 2.84e-16	: 0.
20	: 3.21e-16	: 0.
21	: 3.43e-16	: 0.
22	: 3.56e-16	: 0.
23	: 3.66e-16	: 0.
24	: 3.77e-16	: 0.
25	: 3.95e-16	: 0.
26	: 4.00e-16	: 0.
27	: 4.08e-16	: 0.
28	: 4.20e-16	: 0.
29	: 4.26e-16	: 0.
30	: 4.29e-16	: 0.
32	: 4.39e-16	: 0.
34	: 4.43e-16	: 0.
36	: 4.50e-16	: 0.01e-16
38	: 4.46e-16	: 0.01e-16
40	: 4.44e-16	: 0.04e-16
45	: 4.44e-16	: 0.11e-16
50	: 4.44e-16	: 0.17e-16
55	: 4.49e-16	: 0.20e-16
60	: 4.45e-16	: 0.23e-16
65	: 4.47e-16	: 0.23e-16
70	: 4.41e-16	: 0.23e-16
75	: 4.38e-16	: 0.25e-16
80	: 4.42e-16	: 0.25e-16
85	: 4.40e-16	: 0.24e-16
90	: 4.36e-16	: 0.24e-16
95	: 4.33e-16	: 0.23e-16
100	: 4.21e-16	: 0.23e-16
105	: 4.27e-16	: 0.22e-16
110	: 4.19e-16	: 0.22e-16
115	: 4.13e-16	: 0.21e-16
120	: 4.13e-16	: 0.21e-16
125	: 4.01e-16	: 0.20e-16
130	: 3.98e-16	: 0.19e-16
135	: 3.90e-16	: 0.21e-16
140	: 3.89e-16	: 0.19e-16
145	: 3.86e-16	: 0.18e-16
150	: 3.83e-16	: 0.20e-16
155	: 3.77e-16	: 0.18e-16
160	: 3.73e-16	: 0.17e-16
165	: 3.68e-16	: 0.18e-16
170	: 3.68e-16	: 0.16e-16
175	: 3.64e-16	: 0.17e-16
180	: 3.52e-16	: 0.17e-16
185	: 3.41e-16	: 0.15e-16
190	: 3.43e-16	: 0.15e-16
195	: 3.35e-16	: 0.15e-16
200	: 3.30e-16	: 0.14e-16
\enddata
