Ziegler et al. 1982
Electron Impact
S : cm^2
Energy : S + e -> S+ + 2e : S + e -> S++ + 3e 
2	: 0.		: -1
4	: 0.		: -1
5	: 0.03e-16	: -1
7	: 0.02e-16	: -1
12	: 0.54e-16	: -1
17	: 1.80e-16	: -1
22	: 2.81e-16	: 0.e-17
27	: 3.28e-16	: 0.e-17
37	: 3.23e-16	: 0.16e-17
42	: -1		: 0.54e-17
47	: 3.17e-16	: 0.97e-17
57	: 3.14e-16	: 1.29e-17
67	: 3.30e-16	: 1.58e-17
77	: 3.29e-16	: 1.71e-17
87	: 3.16e-16	: 1.66e-17
97	: 3.22e-16	: 1.65e-17
107	: 3.09e-16	: 1.65e-17
117	: 3.02e-16	: 1.53e-17
127	: 2.89e-16	: 1.45e-17
142	: 2.83e-16	: 1.32e-17
157	: 2.82e-16	: 1.28e-17
177	: 2.67e-16	: 1.18e-17
197	: 2.71e-16	: 1.16e-17
242	: 2.27e-16	: 0.97e-17
272	: -1		: 0.89e-17
297	: 1.98e-16	: 0.83e-17
347	: 1.87e-16	: 0.73e-17
397	: -1		: 0.63e-17
497	: 1.44e-16	: 0.56e-17

