Tawara 2003
Electron Impact 
multiple : cm^-2
Energy 	: Na 		: Mg		: Al		: Si		: P		: S		: Cl 		: Ar 		: K		: Ca
6 	: 1.35E-16 	: 0.		: 0.		: 0.		: 0.		: 0.		: 0.		: 0. 		: 5.20E-16  	: 0.
8 	: 3.30E-16 	: 8.00E-17 	: 2.50E-16 	: 0.		: 0.		: 0.   		: 0. 		: 0. 		: 7.90E-16 	: 2.50E-18 
10 	: 4.35E-16 	: 2.80E-16 	: 5.60E-16 	: 9.00E-17 	: 0. 		: 0. 		: 0. 		: 0. 		: 9.00E-16 	: 7.40E-16 
15 	: 4.75E-16 	: 4.90E-16 	: 9.15E-16 	: 5.10E-16 	: 3.00E-16 	: 1.9E-16 	: 5.00E-17 	: 0.		: 9.00E-16 	: 9.50E-16 
20 	: 4.60E-16 	: 5.25E-16 	: 9.60E-16 	: 6.40E-16 	: 4.20E-16 	: 3.3E-16 	: 1.80E-16 	: 6.00E-17 	: 8.40E-16 	: 8.90E-16 
25 	: 4.35E-16 	: 5.10E-16 	: 9.70E-16 	: 6.90E-16 	: 4.85E-16 	: 4.0E-16 	: 2.55E-16 	: 1.30E-16 	: 7.80E-16 	: 8.20E-16 
30 	: 4.15E-16 	: 4.80E-16 	: 9.60E-16 	: 7.00E-16 	: 5.20E-16 	: 4.2E-16 	: 3.00E-16 	: 1.80E-16 	: 7.30E-16 	: 7.30E-16 
40 	: 3.55E-16 	: 4.30E-16 	: 9.30E-16 	: 6.90E-16 	: 5.25E-16 	: 4.4E-16 	: 3.40E-16 	: 2.30E-16 	: 6.20E-16 	: 6.10E-16 
50 	: 3.20E-16 	: 3.85E-16 	: 8.90E-16 	: 6.70E-16 	: 5.20E-16 	: 4.4E-16 	: 3.55E-16 	: 2.40E-16 	: 5.70E-16 	: 5.20E-16 
60 	: 2.90E-16 	: 3.40E-16 	: 8.30E-16 	: 6.40E-16 	: 5.10E-16 	: 4.5E-16 	: 3.60E-16 	: 2.45E-16 	: 5.40E-16 	: 4.60E-16 
80 	: 2.45E-16 	: 2.85E-16 	: 7.30E-16 	: 5.80E-16 	: 4.75E-16 	: 4.3E-16 	: 3.50E-16 	: 2.45E-16 	: 5.00E-16 	: 3.80E-16 
100 	: 2.10E-16 	: 2.40E-16 	: 6.50E-16 	: 5.20E-16 	: 4.40E-16 	: 4.2E-16 	: 3.30E-16 	: 2.45E-16 	: 4.90E-16 	: 3.20E-16 
150 	: 1.65E-16 	: 1.80E-16 	: 5.00E-16 	: 4.30E-16 	: 3.80E-16 	: 3.7E-16 	: 2.90E-16 	: 2.30E-16 	: 4.20E-16 	: 2.30E-16 
200 	: 1.40E-16 	: 1.30E-16 	: 4.10E-16 	: 3.90E-16 	: 3.20E-16 	: 3.3E-16 	: 2.60E-16 	: 2.20E-16 	: 3.90E-16 	: 1.80E-16 
300 	: 1.10E-16 	: 8.50E-17 	: 3.30E-16 	: 0		: 0		: 2.6E-16 	: 0.		: 1.75E-16 	: 3.10E-16 	: 1.30E-16
400 	: 9.00E-17 	: 6.00E-17 	: 2.70E-16 	: 0.		: 0.		: 2.2E-16 	: 0. 		: 1.40E-16 	: 2.50E-16 	: 1.05E-16 
600	: 7.30E-17 	: 0.		: 2.20E-16 	: 0.		: 0.		: 1.7E-16 	: 0.		: 1.05E-16 	: 1.90E-16 	: 7.20E-17 
800 	: 6.00E-17 	: 0.		: 1.80E-16 	: 0.		: 0.		: 1.4E-16 	: 0. 		: 8.60E-17 	: 1.50E-16 	: 5.50E-17 
1000 	: 5.20E-17 	: 0.		: 1.50E-16 	: 0. 		: 0. 		: 1.3E-16 	: 0.		: 7.20E-17 	: 1.30E-16 	: 4.50E-17 
2000 	: 0.		: 0.		: 9.00E-17 	: 0. 		: 0. 		: 7.6E-17 	: 0. 		: 4.25E-17 	: 7.30E-17 	: 2.30E-17 
4000 	: 0. 		: 0.		: 0.		: 0. 		: 0.		: 4.5E-17 	: 0.		: 2.40E-17 	: 4.20E-17 	: 1.30E-17 
6000 	: 0. 		: 0.		: 0.		: 0. 		: 0.		: 3.2E-17 	: 0.		: 1.80E-17 	: 3.00E-17 	: 8.30E-18 
10000 	: 0. 		: 0.		: 0.		: 0. 		: 0.		: 2.3E-17 	: 0.		: 1.15E-17 	: 2.10E-17 	: 5.10E-18
