Tawara 2003
Electron Impact 
multiple : cm^-2
Energy  : Sc		: Ti		: V		: Cr		: Mn		: Fe		: Co		: Ni		: Cu		: Zn 
6.	: 0.		: 0.		: 0.		: 0.		: 0.		: 0.		: 0.		: 0.		: 0.		: 0.
8 	: 6.60E-16 	: 0. 		: 5.20E-16 	: 0. 		: 1.40E-16 	: 0.		: 0.		: 0.		: 9.30E-17 	: 0.
10 	: 1.35E-15 	: 5.70E-16 	: 1.05E-15 	: 2.30E-16 	: 2.70E-16 	: 1.30E-16 	: 2.25E-16 	: 1.20E-16 	: 2.10E-16 	: 5.00E-17 
15 	: 2.10E-15 	: 8.05E-16 	: 1.55E-15 	: 5.00E-16 	: 4.60E-16 	: 4.00E-16 	: 4.70E-16 	: 3.40E-16 	: 2.83E-16 	: 2.00E-16 
20 	: 2.25E-15 	: 8.20E-16 	: 1.63E-15 	: 6.40E-16 	: 5.00E-16 	: 5.00E-16 	: 5.10E-16 	: 4.20E-16 	: 3.10E-16 	: 3.40E-16 
25 	: 2.20E-15 	: 7.90E-16 	: 1.60E-15 	: 7.70E-16 	: 5.05E-16 	: 5.20E-16 	: 5.34E-16 	: 4.35E-16 	: 3.13E-16 	: 4.10E-16 
30 	: 2.10E-15 	: 7.45E-16 	: 1.55E-15 	: 8.20E-16 	: 5.06E-16 	: 5.25E-16 	: 5.55E-16 	: 4.30E-16 	: 3.08E-16 	: 4.20E-16 
40 	: 1.90E-15 	: 6.40E-16 	: 1.40E-15 	: 7.50E-16 	: 5.00E-16 	: 5.15E-16 	: 5.75E-16 	: 4.05E-16 	: 2.93E-16 	: 4.10E-16 
50 	: 1.70E-15 	: 5.70E-16 	: 1.28E-15 	: 6.50E-16 	: 4.90E-16 	: 4.90E-16 	: 5.70E-16 	: 3.70E-16 	: 2.85E-16 	: 3.90E-16 
60 	: 1.55E-15 	: 5.10E-16 	: 1.15E-15 	: 5.80E-16 	: 4.80E-16 	: 4.60E-16 	: 5.65E-16 	: 3.40E-16 	: 2.67E-16 	: 3.70E-16 
80 	: 1.30E-15 	: 4.25E-16 	: 1.00E-15 	: 4.70E-16 	: 4.50E-16 	: 4.15E-16 	: 5.30E-16 	: 2.95E-16 	: 2.51E-16 	: 3.25E-16 
100 	: 1.15E-15 	: 3.50E-16 	: 8.75E-16 	: 4.00E-16 	: 4.15E-16 	: 3.70E-16 	: 5.00E-16 	: 2.60E-16 	: 2.30E-16 	: 2.80E-16 
150 	: 8.90E-16 	: 2.70E-16 	: 6.75E-16 	: 3.05E-16 	: 3.50E-16 	: 3.10E-16 	: 4.15E-16 	: 2.00E-16 	: 2.00E-16 	: 2.30E-16 
200 	: 7.32E-16 	: 2.20E-16 	: 5.50E-16 	: 2.35E-16 	: 3.05E-16 	: 2.70E-16 	: 3.60E-16 	: 1.60E-16 	: 1.75E-16 	: 1.95E-16 
300 	: 5.50E-16 	: 1.70E-16 	: 4.20E-16 	: 1.80E-16 	: 2.40E-16 	: 2.10E-16 	: 2.85E-16 	: 1.25E-16 	: 1.50E-16 	: 1.45E-16 
400 	: 4.40E-16 	: 1.35E-16 	: 3.40E-16 	: 1.40E-16 	: 2.00E-16 	: 1.70E-16 	: 2.40E-16 	: 1.00E-16 	: 1.30E-16 	: 1.20E-16 
600 	: 3.25E-16 	: 9.80E-17 	: 2.50E-16 	: 1.05E-16 	: 1.55E-16 	: 1.27E-16 	: 1.80E-16 	: 7.30E-17 	: 1.05E-16 	: 9.00E-17 
800 	: 2.60E-16 	: 7.60E-17 	: 2.00E-16 	: 8.30E-17 	: 1.25E-16 	: 1.05E-16 	: 1.49E-16 	: 5.80E-17 	: 8.50E-17 	: 7.30E-17 
1000 	: 2.18E-16 	: 6.30E-17 	: 1.65E-16 	: 7.00E-17 	: 1.07E-16 	: 8.70E-17 	: 1.25E-16 	: 4.80E-17 	: 7.30E-17 	: 6.10E-17 
2000 	: 1.20E-16 	: 3.40E-17 	: 9.50E-17 	: 3.90E-17 	: 6.35E-17 	: 0.		: 7.50E-17 	: 2.75E-17 	: 4.40E-17 	: 3.50E-17 
4000 	: 7.00E-17 	: 1.90E-17 	: 5.30E-17 	: 2.20E-17 	: 3.70E-17 	: 0. 		: 4.35E-17 	: 1.55E-17 	: 0.		: 2.00E-17 
6000 	: 5.00E-17 	: 1.30E-17 	: 3.80E-17 	: 1.50E-17 	: 2.60E-17 	: 0. 		: 3.10E-17 	: 1.10E-17 	: 0.		: 1.40E-17 
10000 	: 3.20E-17 	: 8.30E-18 	: 2.40E-17 	: 1.00E-17 	: 1.70E-17 	: 0.		: 2.05E-17 	: 7.40E-18 	: 0.		: 9.00E-18
