Tawara 2003
Electron Impact 
multiple : cm^-2
Energy  : Ga		: Ge		: As		: Se		: Br		: Kr		: Rb		: Sr		: Zr
6 	: 0.		: 0.		: 0.		: 0.		: 0.		: 0.		: 5.20E-16 	: 0.		: 0.
8 	: 2.30E-16 	: 0.		: 0.		: 0.		: 0.		: 0.		: 8.00E-16 	: 7.40E-16 	: 3.90E-16
10 	: 4.80E-16 	: 1.00E-16 	: 0.		: 0.		: 0.		: 0.		: 8.10E-16 	: 9.80E-16 	: 6.00E-16 
15 	: 8.60E-16 	: 5.50E-16 	: 2.80E-16 	: 2.10E-16 	: 1.05E-16 	: 2.10E-17 	: 7.60E-16 	: 1.09E-15 	: 8.10E-16 
20 	: 9.85E-16 	: 6.30E-16 	: 4.50E-16 	: 3.80E-16 	: 2.10E-16 	: 1.20E-16 	: 8.80E-16 	: 1.05E-15 	: 8.82E-16 
25 	: 1.05E-15 	: 7.15E-16 	: 5.50E-16 	: 5.00E-16 	: 3.10E-16 	: 2.10E-16 	: 9.30E-16 	: 9.65E-16 	: 8.92E-16 
30 	: 1.06E-15 	: 7.30E-16 	: 5.85E-16 	: 5.40E-16 	: 3.70E-16 	: 2.60E-16 	: 9.00E-16 	: 8.85E-16 	: 8.80E-16 
40 	: 1.03E-15 	: 7.30E-16 	: 6.20E-16 	: 5.90E-16 	: 4.30E-16 	: 3.20E-16 	: 8.30E-16 	: 7.65E-16 	: 8.18E-16 
50 	: 9.80E-16 	: 7.20E-16 	: 6.15E-16 	: 5.90E-16 	: 4.40E-16 	: 3.40E-16 	: 7.10E-16 	: 6.65E-16 	: 7.55E-16 
60 	: 9.15E-16 	: 7.00E-16 	: 5.95E-16 	: 5.80E-16 	: 4.40E-16 	: 3.50E-16 	: 6.30E-16 	: 5.94E-16 	: 6.95E-16 
80 	: 7.90E-16 	: 6.35E-16 	: 5.60E-16 	: 5.55E-16 	: 4.30E-16 	: 3.50E-16 	: 5.20E-16 	: 4.94E-16 	: 6.03E-16 
100 	: 6.90E-16 	: 5.80E-16 	: 5.25E-16 	: 5.30E-16 	: 4.05E-16 	: 3.40E-16 	: 4.60E-16 	: 4.18E-16 	: 5.23E-16 
150 	: 5.40E-16 	: 4.60E-16 	: 4.45E-16 	: 4.60E-16 	: 3.55E-16 	: 3.20E-16 	: 3.60E-16 	: 3.00E-16 	: 3.92E-16 
200 	: 4.50E-16 	: 3.80E-16 	: 3.98E-16 	: 4.10E-16 	: 3.10E-16 	: 2.85E-16 	: 3.10E-16 	: 2.53E-16 	: 3.34E-16 
300 	: 3.30E-16 	: 2.75E-16 	: 0.		: 3.40E-16 	: 0		: 2.35E-16 	: 2.45E-16 	: 1.87E-16 	: 2.50E-16 
400 	: 2.80E-16 	: 2.15E-16 	: 0.		: 3.00E-16 	: 0. 		: 2.00E-16 	: 2.10E-16 	: 1.47E-16 	: 2.01E-16 
600 	: 2.15E-16 	: 1.60E-16 	: 0.		: 2.45E-16 	: 0. 		: 1.45E-16 	: 1.60E-16 	: 1.08E-16 	: 1.48E-16 
800 	: 1.80E-16 	: 1.30E-16 	: 0.		: 2.05E-16 	: 0. 		: 1.20E-16 	: 1.40E-16 	: 8.50E-17 	: 1.15E-16 
1000 	: 1.50E-16 	: 1.05E-16 	: 0.		: 1.75E-16 	: 0. 		: 1.00E-16 	: 1.25E-16 	: 7.00E-17 	: 9.60E-17 
2000 	: 9.00E-17 	: 5.95E-17 	: 0.		: 1.07E-16 	: 0.		: 5.90E-17 	: 0.		: 4.00E-17 	: 5.50E-17 
4000 	: 0.		: 3.20E-17 	: 0.		: 5.90E-17 	: 0. 		: 3.15E-17 	: 0.		: 2.20E-17 	: 3.10E-17 
6000 	: 0.		: 2.30E-17 	: 0.		: 4.20E-17 	: 0. 		: 2.20E-17 	: 0.		: 1.60E-17 	: 2.20E-17 
10000 	: 0.		: 1.60E-17 	: 0.		: 2.90E-17 	: 0.		: 1.40E-17 	: 0.		: 1.00E-17 	: 1.40E-17
