Tawara 2003
Electron Impact 
multiple : cm^-2
Energy  : Mo		: Ru		: Ag		: Cd		: In		: Sn		: Sb		: Te		: I		: Xe
6 	: 0. 		: 0. 		: 0. 		: 0. 		: 3.90E-17 	: 8.00E-18 	: 2.00E-18 	: 0.		: 0.		: 0.
8 	: 1.40E-16 	: 9.00E-17 	: 3.20E-17 	: 0.		: 2.00E-16 	: 1.15E-16 	: 5.20E-17  	: 0.		: 0.		: 0.
10 	: 3.50E-16 	: 2.20E-16 	: 1.05E-16 	: 1.25E-16 	: 4.20E-16 	: 3.30E-16 	: 1.95E-16 	: 1.20E-16 	: 4.00E-18 	: 0.
15 	: 6.30E-16 	: 4.08E-16 	: 2.00E-16 	: 3.60E-16 	: 7.00E-16 	: 7.49E-16 	: 5.70E-16 	: 7.78E-16 	: 1.90E-16 	: 1.00E-16 
20 	: 7.18E-16 	: 4.63E-16 	: 2.60E-16 	: 4.54E-16 	: 7.00E-16 	: 9.04E-16 	: 7.26E-16 	: 1.05E-15 	: 3.82E-16 	: 2.45E-16 
25 	: 7.46E-16 	: 4.92E-16 	: 2.90E-16 	: 4.82E-16 	: 6.80E-16 	: 9.55E-16 	: 8.10E-16 	: 1.18E-15 	: 4.90E-16 	: 3.60E-16 
30 	: 7.53E-16 	: 4.95E-16 	: 3.00E-16 	: 5.02E-16 	: 6.60E-16 	: 9.80E-16 	: 8.30E-16 	: 1.24E-15 	: 5.53E-16 	: 4.20E-16 
40 	: 7.56E-16 	: 5.20E-16 	: 3.00E-16 	: 4.93E-16 	: 6.60E-16 	: 9.52E-16 	: 8.10E-16 	: 1.25E-15 	: 6.00E-16 	: 4.45E-16 
50 	: 7.37E-16 	: 5.35E-16 	: 2.90E-16 	: 4.70E-16 	: 7.00E-16 	: 9.24E-16 	: 7.85E-16 	: 1.20E-15 	: 5.96E-16 	: 4.40E-16 
60 	: 7.16E-16 	: 5.37E-16 	: 2.70E-16 	: 4.58E-16 	: 7.50E-16 	: 8.80E-16 	: 7.60E-16 	: 1.12E-15 	: 5.90E-16 	: 4.45E-16 
80 	: 6.56E-16 	: 5.17E-16 	: 2.60E-16 	: 4.50E-16 	: 8.00E-16 	: 8.05E-16 	: 7.20E-16 	: 9.97E-16 	: 5.85E-16 	: 4.60E-16 
100 	: 6.05E-16 	: 4.87E-16 	: 2.60E-16 	: 4.43E-16 	: 7.90E-16 	: 7.40E-16 	: 6.70E-16 	: 8.83E-16 	: 5.55E-16 	: 4.45E-16 
150 	: 4.80E-16 	: 4.18E-16 	: 2.35E-16 	: 4.05E-16 	: 7.00E-16 	: 6.20E-16 	: 5.70E-16 	: 6.73E-16 	: 4.70E-16 	: 4.10E-16 
200 	: 4.18E-16 	: 3.58E-16 	: 2.10E-16 	: 3.52E-16 	: 6.30E-16 	: 5.00E-16 	: 4.50E-16 	: 5.88E-16 	: 4.10E-16 	: 3.60E-16 
300 	: 3.27E-16 	: 2.84E-16 	: 1.65E-16 	: 2.83E-16 	: 5.20E-16 	: 0.		: 0.		: 4.23E-16 	: 0.		: 2.90E-16 
400 	: 2.72E-16 	: 2.34E-16 	: 1.45E-16 	: 2.38E-16 	: 4.30E-16 	: 0.		: 0. 		: 3.42E-16 	: 0.		: 2.40E-16 
600 	: 2.05E-16 	: 1.73E-16 	: 1.05E-16 	: 1.77E-16 	: 3.40E-16 	: 0.		: 0. 		: 2.40E-16 	: 0.		: 1.80E-16 
800 	: 1.67E-16 	: 1.33E-16 	: 8.30E-17 	: 1.44E-16 	: 3.00E-16 	: 0.		: 0. 		: 1.98E-16 	: 0.		: 1.50E-16 
1000 	: 1.39E-16 	: 1.16E-16 	: 6.10E-17 	: 1.20E-16 	: 2.50E-16 	: 0.		: 0. 		: 1.60E-16 	: 0.		: 1.25E-16 
2000 	: 8.20E-17 	: 6.70E-17 	: 0. 		: 6.85E-17 	: 0.		: 0.		: 0.		: 9.30E-17 	: 0. 		: 7.70E-17 
4000 	: 4.75E-17 	: 3.80E-17 	: 0. 		: 3.80E-17 	: 0.		: 0.		: 0.		: 5.20E-17 	: 0. 		: 4.30E-17 
6000 	: 3.30E-17 	: 2.60E-17 	: 0. 		: 2.65E-17 	: 0.		: 0.		: 0.		: 3.80E-17 	: 0. 		: 3.05E-17 
10000 	: 2.20E-17 	: 1.75E-17 	: 0. 		: 1.80E-17 	: 0.		: 0.		: 0.		: 2.40E-17 	: 0. 		: 1.95E-17
