Tawara 2003
Electron Impact 
multiple : cm^-2
Energy  : Cs 		: Ba		: Au		: Hg		: Tl		: Pb		: Bi		: U
6 	: 3.60E-16 	: 4.00E-16 	: 0.		: 0. 		: 0.		: 0.		: 2.50E-17 	: 0.
8 	: 6.30E-16 	: 1.25E-15 	: 0.		: 0.		: 1.60E-16 	: 1.05E-16 	: 1.60E-16 	: 1.40E-16 
10 	: 7.80E-16 	: 1.45E-15 	: 0.		: 0.		: 2.60E-16 	: 2.10E-16 	: 3.36E-16 	: 1.90E-16 
15 	: 9.20E-16 	: 1.25E-15 	: 1.75E-16 	: 4.10E-16 	: 4.10E-16 	: 6.25E-16 	: 0.		: 3.40E-16 
20 	: 8.30E-16 	: 1.45E-15 	: 3.30E-16 	: 4.50E-16 	: 5.20E-16 	: 7.61E-16 	: 0.		: 4.35E-16 
25 	: 9.20E-16 	: 1.40E-15 	: 4.40E-16 	: 4.80E-16 	: 6.00E-16 	: 8.40E-16 	: 0.		: 4.80E-16 
30 	: 9.35E-16 	: 1.25E-15 	: 5.00E-16 	: 5.30E-16 	: 6.20E-16 	: 8.73E-16 	: 0.		: 5.00E-16 
40 	: 9.30E-16 	: 1.00E-15 	: 5.60E-16 	: 6.10E-16 	: 6.00E-16 	: 8.75E-16 	: 0.		: 4.70E-16 
50 	: 9.00E-16 	: 8.40E-16 	: 1.15E-15 	: 5.80E-16 	: 6.60E-16 	: 5.80E-16 	: 8.61E-16 	: 4.30E-16 
60 	: 8.40E-16 	: 7.30E-16 	: 1.40E-15 	: 5.70E-16 	: 6.90E-16 	: 5.60E-16 	: 8.20E-16 	: 3.90E-16 
80 	: 7.80E-16 	: 5.90E-16 	: 1.45E-15 	: 5.40E-16 	: 7.25E-16 	: 5.00E-16 	: 7.75E-16 	: 3.45E-16 
100	: 7.10E-16 	: 4.80E-16 	: 1.40E-15 	: 5.00E-16 	: 7.20E-16 	: 4.35E-16 	: 7.40E-16 	: 3.15E-16 
150 	: 5.80E-16 	: 3.30E-16 	: 1.25E-15 	: 4.20E-16 	: 6.60E-16 	: 3.50E-16 	: 6.20E-16 	: 2.60E-16 
200 	: 5.20E-16 	: 2.55E-16 	: 1.15E-15 	: 3.50E-16 	: 5.85E-16 	: 3.05E-16 	: 5.10E-16 	: 2.30E-16 
300 	: 4.20E-16 	: 1.80E-16 	: 9.60E-16 	: 2.70E-16 	: 4.60E-16 	: 2.45E-16 	: 0.		: 1.90E-16 
400 	: 3.50E-16 	: 1.35E-16 	: 8.50E-16 	: 2.30E-16 	: 3.80E-16 	: 2.10E-16 	: 0.		: 1.70E-16 
600 	: 2.80E-16 	: 1.00E-16 	: 7.30E-16 	: 1.75E-16 	: 2.90E-16 	: 1.75E-16 	: 0.		: 1.45E-16 
800 	: 2.35E-16 	: 7.50E-17 	: 6.30E-16 	: 1.45E-16 	: 2.30E-16 	: 1.50E-16 	: 0.		: 1.25E-16 
1000 	: 2.10E-16 	: 6.20E-17 	: 5.60E-16 	: 1.30E-16 	: 1.95E-16 	: 1.35E-16 	: 0.		: 1.15E-16
