heliocentric distance=      1.00000, Temp=3000. K
      velocity(km/s)   RADPRESS         beta           gval3720       gval3861
       12.000000     0.095281168   0.00058815536     0.029580692     0.021336243
       11.000000     0.092284818   0.00056965937     0.028667500     0.020647754
       10.000000     0.089120509   0.00055012660     0.027650030     0.019975738
       9.0000000     0.085597716   0.00052838096     0.026478699     0.019267602
       8.0000000     0.081396827   0.00050244955     0.025122331     0.018381162
       7.0000000     0.076123049   0.00046989536     0.023456818     0.017229604
       6.0000000     0.069258175   0.00042751960     0.021330500     0.015687306
       5.0000000     0.060435551   0.00037305896     0.018623444     0.013678484
       4.0000000     0.049833109   0.00030761178     0.015396514     0.011237138
       3.0000000     0.038885595   0.00024003454     0.012088476    0.0086914764
       2.0000000     0.029716571   0.00018343562    0.0093529526    0.0065229244
       1.0000000     0.023897242   0.00014751384    0.0075714811    0.0051936172
       0.0000000     0.021210354   0.00013092811    0.0067583000    0.0045701582
      -1.0000000     0.020637144   0.00012738977    0.0065587123    0.0044642690
      -2.0000000     0.021817231   0.00013467427    0.0068566006    0.0047996475
      -3.0000000     0.025313264   0.00015625471    0.0078309914    0.0056977991
      -4.0000000     0.032098091   0.00019813636    0.0097356050    0.0074267396
      -5.0000000     0.041886610   0.00025855932     0.012567021    0.0098343414
      -6.0000000     0.052821054   0.00032605589     0.015870562     0.012377880
      -7.0000000     0.063086300   0.00038942161     0.019037319     0.014697938
      -8.0000000     0.071627955   0.00044214787     0.021691693     0.016608435
      -9.0000000     0.078017189   0.00048158759     0.023732347     0.017980327
      -10.000000     0.083121805   0.00051309756     0.025360851     0.019078361
      -11.000000     0.087234069   0.00053848191     0.026667008     0.019968955
      -12.000000     0.090753431   0.00056020637     0.027750737     0.020766571
      -13.000000     0.093894104   0.00057959324     0.028734187     0.021461445
