a = 0.352
vel	:	4045
-12	:	7.82E-02
-11.5	:	7.75E-02
-11	:	7.71E-02
-10.5	:	7.56E-02
-10	:	7.50E-02
-9.5	:	7.43E-02
-9	:	7.33E-02
-8.5	:	7.19E-02
-8	:	7.01E-02
-7.5	:	6.94E-02
-7	:	6.75E-02
-6.5	:	6.56E-02
-6	:	6.42E-02
-5.5	:	6.22E-02
-5	:	6.18E-02
-4.5	:	6.12E-02
-4	:	6.13E-02
-3.5	:	6.17E-02
-3	:	6.26E-02
-2.5	:	6.29E-02
-2	:	6.32E-02
-1.5	:	6.39E-02
-1	:	6.39E-02
-0.5	:	6.49E-02
0	:	6.62E-02
0.5	:	6.77E-02
1	:	6.86E-02
1.5	:	7.09E-02
2	:	7.19E-02
2.5	:	7.23E-02
3	:	7.24E-02
3.5	:	7.14E-02
4	:	7.09E-02
4.5	:	6.92E-02
5	:	6.78E-02
5.5	:	6.62E-02
6	:	6.37E-02
6.5	:	6.16E-02
7	:	5.82E-02
7.5	:	5.41E-02
8	:	4.98E-02
8.5	:	4.63E-02
9	:	4.24E-02
9.5	:	4.04E-02
10	:	3.88E-02
10.5	:	3.80E-02
11	:	3.82E-02
11.5	:	3.85E-02
12	:	3.94E-02
