vel	:	2852
-12	:	3.78E-01
-11.5	:	3.68E-01
-11	:	3.56E-01
-10.5	:	3.42E-01
-10	:	3.26E-01
-9.5	:	3.11E-01
-9	:	2.91E-01
-8.5	:	2.80E-01
-8	:	2.70E-01
-7.5	:	2.66E-01
-7	:	2.70E-01
-6.5	:	2.69E-01
-6	:	2.72E-01
-5.5	:	2.72E-01
-5	:	2.72E-01
-4.5	:	2.71E-01
-4	:	2.70E-01
-3.5	:	2.69E-01
-3	:	2.73E-01
-2.5	:	2.72E-01
-2	:	2.69E-01
-1.5	:	2.67E-01
-1	:	2.67E-01
-0.5	:	2.69E-01
0	:	2.73E-01
0.5	:	2.81E-01
1	:	2.94E-01
1.5	:	3.04E-01
2	:	3.22E-01
2.5	:	3.44E-01
3	:	3.73E-01
3.5	:	4.10E-01
4	:	4.55E-01
4.5	:	5.06E-01
5	:	5.68E-01
5.5	:	6.37E-01
6	:	7.01E-01
6.5	:	7.63E-01
7	:	8.12E-01
7.5	:	8.34E-01
8	:	8.75E-01
8.5	:	9.07E-01
9	:	9.25E-01
9.5	:	9.30E-01
10	:	9.15E-01
10.5	:	8.99E-01
11	:	8.70E-01
11.5	:	8.48E-01
12	:	8.20E-01
