heliocentric distance=      1.00000
velocity(km/s)  2795           2799            2802
12.000000   : 0.023583887   : 0.020498378   : 0.015760123
11.000000   : 0.024002144   : 0.020606698   : 0.015723682
10.000000   : 0.024420408   : 0.020715021   : 0.015687241
9.0000000   : 0.024838682   : 0.020823345   : 0.015650799
8.0000000   : 0.025256963   : 0.020931672   : 0.015614356
7.0000000   : 0.025675253   : 0.021040001   : 0.015577913
6.0000000   : 0.026093551   : 0.021148332   : 0.015541469
5.0000000   : 0.026511858   : 0.021256665   : 0.015505024
4.0000000   : 0.026930173   : 0.021365000   : 0.015468578
3.0000000   : 0.027348496   : 0.021473338   : 0.015432132
2.0000000   : 0.027766828   : 0.021581677   : 0.015395685
1.0000000   : 0.028185168   : 0.021690019   : 0.015359237
0.0000000   : 0.028603516   : 0.021798363   : 0.015322788
-1.0000000  : 0.029021873   : 0.021906709   : 0.015286339
-2.0000000  : 0.029440238   : 0.022015058   : 0.015249889
-3.0000000  : 0.029858612   : 0.022123408   : 0.015213438
-4.0000000  : 0.030276994   : 0.022231761   : 0.015176986
-5.0000000  : 0.030695384   : 0.022340116   : 0.015140534
-6.0000000  : 0.031113783   : 0.022448473   : 0.015104081
-7.0000000  : 0.031532190   : 0.022556832   : 0.015067628
-8.0000000  : 0.031950605   : 0.022665193   : 0.015031173
-9.0000000  : 0.032369029   : 0.022773557   : 0.014994718
-10.000000  : 0.032787461   : 0.022881922   : 0.014958262
-11.000000  : 0.033205902   : 0.022990290   : 0.014921805
-12.000000  : 0.033624350   : 0.023098660   : 0.014885348
-13.000000  : 0.034042808   : 0.023207032   : 0.014848890
