a = 0.352
vel	:          3303	        :	    5891	        :	5897
-12	:	5.51E-02	:	42.4085782580639	:	26.099588877678
-11.5	:	5.60E-02	:	41.392542375351	:	25.448855245128
-11	:	5.62E-02	:	40.390769147598	:	24.685981487955
-10.5	:	5.59E-02	:	39.3401463266069	:	24.015101855274
-10	:	5.51E-02	:	38.306103842007	:	23.260785691077
-9.5	:	5.38E-02	:	36.752009300928	:	22.5519317395649
-9	:	5.21E-02	:	35.415063681615	:	21.6346647424499
-8.5	:	4.99E-02	:	33.7133506617	:	20.707948736424
-8	:	4.76E-02	:	31.608004506417	:	19.607941472634
-7.5	:	4.45E-02	:	29.305655429499	:	18.457123500549
-7	:	4.18E-02	:	26.87797327212	:	17.0648031233538
-6.5	:	3.89E-02	:	23.963221447857	:	15.6135423245364
-6	:	3.50E-02	:	20.6619516741779	:	14.1104724315768
-5.5	:	3.22E-02	:	17.6825187096713	:	12.3888630079926
-5	:	2.88E-02	:	14.8430915319159	:	10.4890238823645
-4.5	:	2.61E-02	:	12.2761702054899	:	8.7505310409714
-4	:	2.33E-02	:	10.3108120086392	:	7.081586470827
-3.5	:	2.05E-02	:	8.560623790179	:	5.7423409984017
-3	:	1.79E-02	:	7.06045991316749	:	4.62723314867279
-2.5	:	1.47E-02	:	6.0539086960029	:	3.8187010673091
-2	:	1.20E-02	:	5.3133025088862	:	3.2380862122062
-1.5	:	9.77E-03	:	4.8121841268666	:	2.8689687018414
-1	:	7.17E-03	:	4.529284365735	:	2.6492168455452
-0.5	:	5.72E-03	:	4.3486121840292	:	2.5077491366607
0	:	4.37E-03	:	4.2444591461838	:	2.4720033576672
0.5	:	3.81E-03	:	4.2891012562086	:	2.4790455435537
1	:	3.56E-03	:	4.4475771811329	:	2.5914174363198
1.5	:	3.65E-03	:	4.786547004576	:	2.7825370127838
2	:	4.26E-03	:	5.3617777074315	:	3.1328278186014
2.5	:	5.08E-03	:	6.2481303999207	:	3.6526481069373
3	:	6.18E-03	:	7.391086083459	:	4.3771909789053
3.5	:	8.24E-03	:	9.0812820094938	:	5.2200069171291
4	:	1.01E-02	:	10.6789133048382	:	6.6464328679974
4.5	:	1.24E-02	:	13.2006398433597	:	7.92165684797099
5	:	1.52E-02	:	15.8723560271042	:	9.5306982672834
5.5	:	1.76E-02	:	18.984485167695	:	11.3620053358287
6	:	2.03E-02	:	21.923661788577	:	13.077428332824
6.5	:	2.26E-02	:	25.014379118409	:	14.8308791336064
7	:	2.51E-02	:	27.656535949749	:	16.3296880583966
7.5	:	2.71E-02	:	29.941056707967	:	17.7527622853494
8	:	2.91E-02	:	32.194556191647	:	18.911923910586
8.5	:	3.19E-02	:	33.8639999547149	:	20.0055129796439
9	:	3.43E-02	:	35.393134849614	:	20.899246596075
9.5	:	3.66E-02	:	36.8042462747189:	:	21.683157769314
10	:	3.97E-02	:	38.005874955099	:	22.423567844925
10.5	:	4.22E-02	:	39.0976811922869	:	23.161481955918
11	:	4.49E-02	:	40.170945978027	:	23.731453304757
11.5	:	4.71E-02	:	41.144372179047	:	24.516434177118
12	:	4.92E-02	:	42.079467494862	:	25.056453950541
